央视,#genre#
CCTV第一剧场,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225702/1/index.m3u8?fmt=ts2hls
CCTV风云剧场,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225700/1/index.m3u8?fmt=ts2hls
CCTV风云音乐,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225698/1/index.m3u8?fmt=ts2hls
CCTV风云足球,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225734/1/index.m3u8?fmt=ts2hls
CCTV高尔夫网球,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225674/1/index.m3u8?fmt=ts2hls
CCTV怀旧剧场,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225765/1/index.m3u8?fmt=ts2hls
CCTV女性时尚,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225699/1/index.m3u8?fmt=ts2hls
CCTV世界地理,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225733/1/index.m3u8?fmt=ts2hls
CCTV文化精品,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225675/1/index.m3u8?fmt=ts2hls

卫视.#genre#
湖南卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8$央视频#http://ivi.bupt.edu.cn/hls/hunanhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226241/1.m3u8$北京移动#http://117.169.124.37:6610/ysten-businessmobile/live/hdhunanstv/1.m3u8
浙江卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000295503.m3u8$央视频#http://ivi.bupt.edu.cn/hls/zjhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226247/1.m3u8$北京移动#http://117.169.124.37:6610/ysten-businessmobile/live/hdzhejiangstv/yst.m3u8
江苏卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000295603.m3u8$央视频#http://ivi.bupt.edu.cn/hls/jshd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226242/1.m3u8$北京移动#http://117.169.124.37:6610/ysten-businessmobile/live/hdjiangsustv/yst.m3u8
东方卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000292403.m3u8$央视频#http://ivi.bupt.edu.cn/hls/dfhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226237/1.m3u8$北京移动#http://117.169.124.37:6610/ysten-businessmobile/live/hddongfangstv/yst.m3u8
安徽卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000298003.m3u8$央视频#http://ivi.bupt.edu.cn/hls/ahhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226223/1.m3u8$北京移动#http://112.50.243.8/PLTV/88888888/224/3221226942/1.m3u8
北京卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000272103.m3u8$央视频#http://ivi.bupt.edu.cn/hls/btv1hd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8$北京移动#http://117.169.124.37:6610/ysten-businessmobile/live/hdbeijingstv/yst.m3u8
广东卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000292703.m3u8$央视频#http://ivi.bupt.edu.cn/hls/gdhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226238/1.m3u8$北京移动#http://117.169.124.37:6610/ysten-businessmobile/live/hdguangdongstv/yst.m3u8#http://nat1.hk.pn:15501/gdtv.php?id=43
南方卫视,http://live.hcs.cmvideo.cn:8088/wd_r3/2018/nfmedia/nfws/1000/index.m3u8?ProgramID=&encrypt=$咪咕#http://nat1.hk.pn:15501/gdtv.php?id=51
深圳卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000292203.m3u8$央视频#http://ivi.bupt.edu.cn/hls/szhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8$北京移动#http://112.50.243.8/PLTV/88888888/224/3221225938/1.m3u8
广西卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000294203.m3u8$央视频#http://ivi.bupt.edu.cn/hls/gxhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225879/1.m3u8$北京移动#http://live.hcs.cmvideo.cn:8088/wd-guangxiwssd-600/index.m3u8?ProgramID=&encrypt=$咪咕
东南卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000292503.m3u8$央视频#http://ivi.bupt.edu.cn/hls/dnhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225876/1.m3u8$北京移动#http://117.169.124.37:6610/ysten-businessmobile/live/dongnanstv/yst.m3u8
海峡卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil$RTSP
厦门卫视,http://ivi.bupt.edu.cn/hls/xmtv.m3u8$北邮标清#http://112.50.243.8/PLTV/88888888/224/3221226781/1.m3u8
海南卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000291503.m3u8$央视频#http://ivi.bupt.edu.cn/hls/lyhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225890/1.m3u8$北京移动
江西卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000294103.m3u8$央视频#http://ivi.bupt.edu.cn/hls/jxtv.m3u8$北邮标清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226243/1.m3u8$北京移动#http://live.hcs.cmvideo.cn:8088/migu/kailu/jxwshd/51/20190820/index.m3u8?ProgramID=&encrypt=$咪咕
重庆卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000297803.m3u8$央视频#http://ivi.bupt.edu.cn/hls/cqhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226337/1.m3u8$北京移动#http://117.169.124.37:6610/ysten-businessmobile/live/chongqingstv/yst.m3u8
贵州卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000293303.m3u8$央视频#http://ivi.bupt.edu.cn/hls/gzhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225880/1.m3u8$北京移动#http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225771/1/index.m3u8?fmt=ts2hls$移动
云南卫视,http://ivi.bupt.edu.cn/hls/yntv.m3u8$北邮标清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225902/1.m3u8$北京移动#http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225838/index.m3u8$江苏移动#http://live.hcs.cmvideo.cn:8088/envivo_x/2018/SD/yunnan/1000/index.m3u8?ProgramID=&encrypt=$咪咕#http://39.130.215.166:6410/gitv_live/G_YUNNAN-HD/G_YUNNAN-H.m3u8
西藏卫视,http://ivi.bupt.edu.cn/hls/xztv.m3u8$北邮标清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8$北京移动#http://live.hcs.cmvideo.cn:8088/envivo_x/2018/SD/xizang/1000/index.m3u8?ProgramID=&encrypt=$咪咕#http://118.123.60.9:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=049&Provider_id=&Pcontent_id=index.m3u8
四川卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000295003.m3u8$央视频#http://ivi.bupt.edu.cn/hls/schd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225898/1.m3u8$北京移动#http://112.50.243.8/PLTV/88888888/224/3221227006/1.m3u8
康巴卫视,http://scgctvshow.sctv.com/hdlive/kangba/index.m3u8$官网
湖北卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000294503.m3u8$央视频#http://ivi.bupt.edu.cn/hls/hbhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226310/1.m3u8$北京移动#http://112.50.243.8/PLTV/88888888/224/3221225948/1.m3u8
天津卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000295103.m3u8$央视频#http://ivi.bupt.edu.cn/hls/tjtv.m3u8$北邮标清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226246/1.m3u8$北京移动#http://117.169.124.37:6610/ysten-businessmobile/live/hdtianjinstv/yst.m3u8
河北卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000293403.m3u8$央视频#http://ivi.bupt.edu.cn/hls/hebhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225881/1.m3u8$北京移动#http://live01.hebtv.com/channels/hebtv/video_channel_04/flv:2000k/live$官网#http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000296103.m3u8
河南卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000296103.m3u8$央视频#http://ivi.bupt.edu.cn/hls/hntv.m3u8$北邮标清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225882/1.m3u8$北京移动
山东卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000294803.m3u8$央视频#http://ivi.bupt.edu.cn/hls/sdhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226308/1.m3u8$北京移动#http://117.169.124.37:6610/ysten-businessmobile/live/hdshandongstv/yst.m3u8
山东教育卫视,http://ivi.bupt.edu.cn/hls/sdetv.m3u8$北邮#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226241/1.m3u8$北京移动
山西卫视,http://ivi.bupt.edu.cn/hls/sxrtv.m3u8$北邮标清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225895/1.m3u8$北京移动#http://live.hcs.cmvideo.cn:8088/envivo_w/2018/SD/shanxi/1000/index.m3u8?ProgramID=&encrypt=$咪咕#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=010&Provider_id=&Pcontent_id=index.m3u8
陕西卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000294403.m3u8$央视频#http://ivi.bupt.edu.cn/hls/sxtv.m3u8$北邮标清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8$北京移动#http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8
甘肃卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000294603.m3u8$央视频#http://ivi.bupt.edu.cn/hls/gstv.m3u8$北邮标清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225877/1.m3u8$北京移动#http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8
宁夏卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225892/1.m3u8$北京移动#http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221225842/index.m3u8$江苏移动#http://live.hcs.cmvideo.cn:8088/envivo_x/2018/SD/ningxia/1000/index.m3u8?ProgramID=&encrypt=$咪咕#http://112.50.243.8/PLTV/88888888/224/3221225849/1.m3u8
内蒙古卫视,http://ivi.bupt.edu.cn/hls/nmtv.m3u8$北邮标清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225891/1.m3u8$北京移动#http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221225836/index.m3u8$江苏移动#http://live.hcs.cmvideo.cn:8088/envivo_w/2018/SD/neimeng/1000/index.m3u8?ProgramID=&encrypt=$咪咕#http://live.m2oplus.nmtv.cn/1/sd/live.m3u8$官网
青海卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000294703.m3u8$央视频#http://ivi.bupt.edu.cn/hls/qhtv.m3u8$北邮标清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225893/1.m3u8$北京移动#http://live.hcs.cmvideo.cn:8088/envivo_w/2018/SD/qinghai/1000/index.m3u8?ProgramID=&encrypt=$咪咕
黑龙江卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000293903.m3u8$央视频#http://ivi.bupt.edu.cn/hls/hljhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226239/1.m3u8$北京移动#http://117.169.124.37:6610/ysten-businessmobile/live/hdheilongjiangstv/yst.m3u8
辽宁卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000281303.m3u8$央视频#http://ivi.bupt.edu.cn/hls/lntv.m3u8$北邮标清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226336/1.m3u8$北京移动#http://112.50.243.8/PLTV/88888888/224/3221226881/1.m3u8
吉林卫视,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000284703.m3u8$央视频#http://ivi.bupt.edu.cn/hls/jlhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225886/1.m3u8$北京移动#http://live.hcs.cmvideo.cn:8088/envivo_v/2018/SD/jilin/1000/index.m3u8?ProgramID=&encrypt=$咪咕
新疆卫视,http://ivi.bupt.edu.cn/hls/xjtv.m3u8$北邮标清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8$北京移动#http://live.hcs.cmvideo.cn:8088/wd-xinjiangwssd-600/index.m3u8?ProgramID=&encrypt=$咪咕#http://112.17.40.140/PLTV/88888888/224/3221226124/index.m3u8
兵团卫视,http://ivi.bupt.edu.cn/hls/bttv.m3u8$北邮标清#http://live.hcs.cmvideo.cn:8088/envivo_w/2018/SD/bttv/1000/index.m3u8?ProgramID=&encrypt=$咪咕#http://112.50.243.8/PLTV/88888888/224/3221226950/1.m3u8
三沙卫视,http://ivi.bupt.edu.cn/hls/sstv.m3u8$北邮标清
延边卫视,http://ivi.bupt.edu.cn/hls/ybtv.m3u8$北邮标清
